TEAM,REGION,POWER RATING,1ST,2ND,SWEET 16,ELITE EIGHT,FINAL FOUR,CHAMP,WIN
Gonzaga 1,West,96.5,,99%,91%,73%,56%,43%,28%
Illinois 1,Midwest,93.9,,98%,81%,65%,45%,27%,15%
Baylor 1,South,93.6,,98%,72%,57%,41%,24%,13%
Iowa 2,West,90.8,,94%,71%,49%,18%,12%,6%
Houston 2,Midwest,90.6,,96%,72%,47%,23%,12%,5%
Ohio State 2,South,89.4,,94%,70%,43%,19%,9%,4%
Alabama 2,East,88.8,,95%,60%,37%,21%,7%,3%
Michigan 1,East,88.6,,96%,62%,37%,20%,7%,3%
Virginia 4,West,88.1,,86%,51%,13%,7%,4%,2%
Florida State 4,East,86.8,,83%,47%,23%,11%,4%,1%
Texas 3,East,86.8,,85%,49%,23%,12%,4%,1%
W. Virginia 3,Midwest,86.6,,91%,50%,21%,8%,3%,1%
Wisconsin 9,South,87.3,,55%,16%,11%,6%,3%,1%
Creighton 5,West,87,,82%,41%,10%,5%,3%,1%
Purdue 4,South,86.5,,81%,50%,15%,7%,3%,1%
Texas Tech 6,South,86.4,,67%,38%,19%,7%,3%,1%
Arkansas 3,South,86.3,,76%,40%,19%,7%,3%,1%
Colorado 5,East,86,,70%,37%,17%,8%,3%,1%
USC 6,West,85.8,,73%,47%,18%,5%,2%,0.80%
Kansas 3,West,83.5,,79%,35%,15%,4%,2%,0.80%
Tennessee 5,Midwest,85.8,,74%,44%,12%,6%,2%,0.80%
SDSU 6,Midwest,85.6,,61%,32%,13%,5%,2%,0.70%
UConn 7,East,85.3,,54%,22%,12%,6%,2%,0.60%
UNC 8,South,86.1,,45%,12%,7%,4%,2%,0.60%
LSU 8,East,85.1,,60%,24%,12%,6%,2%,0.60%
Okla. State 4,Midwest,84.9,,80%,41%,10%,4%,2%,0.50%
Villanova 5,South,84.8,,75%,36%,9%,4%,1%,0.50%
BYU 6,East,84.5,,54%,26%,11%,5%,1%,0.50%
Loyola (IL) 8,Midwest,85.1,,72%,15%,8%,4%,1%,0.50%
Oregon 7,West,84.6,,62%,19%,10%,2%,1%,0.40%
Maryland 10,East,84.4,,46%,18%,9%,4%,1%,0.40%
Rutgers 10,Midwest,84.1,,58%,17%,8%,3%,1%,0.30%
Florida 7,South,83,,58%,18%,8%,2%,0.70%,0.20%
Michigan St. 11,East,82.9,54%,26%,12%,5%,2%,0.60%,0.20%
St. Bon. 9,East,82.9,,40%,14%,6%,2%,0.60%,0.20%
Syracuse 11,Midwest,83.1,,39%,17%,6%,2%,0.60%,0.20%
Utah State 11,South,82.4,,33%,14%,5%,1%,0.50%,0.10%
Clemson 7,Midwest,82.4,,42%,11%,4%,1%,0.40%,0.10%
UCLA 11,East,81.9,46%,20%,9%,3%,1%,0.30%,0.10%
Oklahoma 8,West,81.2,,47%,4%,2%,0.70%,0.30%,0.10%
Georgia Tech 9,Midwest,79.8,,28%,3%,2%,0.80%,0.30%,0.10%
Georgetown 12,East,81.3,,30%,12%,4%,1%,0.30%,<0.1%
VCU 10,West,81.7,,38%,9%,4%,0.70%,0.30%,<0.1%
Virginia Tech 10,South,81.2,,42%,11%,4%,1%,0.30%,<0.1%
Missouri 9,West,81.8,,53%,5%,2%,0.60%,0.20%,<0.1%
Wichita St. 11,West,79.9,60%,18%,9%,2%,0.40%,0.10%,<0.1%
Oregon St. 12,Midwest,79.7,,26%,10%,2%,0.40%,0.10%,<0.1%
Colgate 14,South,79.6,,24%,7%,2%,0.40%,0.10%,<0.1%
Winthrop 12,South,78.4,,25%,7%,0.90%,0.30%,<0.1%,<0.1%
North Texas 13,South,78.2,,19%,6%,0.80%,0.20%,<0.1%,<0.1%
UNC-Greens. 13,East,77.8,,17%,5%,1%,0.30%,<0.1%,<0.1%
Drake 11,West,77.6,40%,9%,4%,0.80%,0.10%,<0.1%,<0.1%
UCSB 12,West,78.4,,18%,4%,0.40%,0.10%,<0.1%,<0.1%
Abilene Chr. 14,East,77,,15%,4%,0.80%,0.20%,<0.1%,<0.1%
Liberty 13,Midwest,77,,20%,5%,0.60%,0.10%,<0.1%,<0.1%
Ohio 13,West,77.5,,14%,3%,0.30%,<0.1%,<0.1%,<0.1%
E. Wash. 14,West,76.1,,21%,5%,0.70%,<0.1%,<0.1%,<0.1%
Gr. Canyon 15,West,74.7,,6%,1%,0.20%,<0.1%,<0.1%,<0.1%
Morehead St. 14,Midwest,73.7,,9%,1%,0.20%,<0.1%,<0.1%,<0.1%
Oral Roberts 15,South,73.3,,6%,1%,0.20%,<0.1%,<0.1%,<0.1%
Drexel 16,Midwest,72.4,,2%,0.40%,<0.1%,<0.1%,<0.1%,<0.1%
Iona 15,East,71.8,,5%,0.50%,<0.1%,<0.1%,<0.1%,<0.1%
Cleveland St. 15,Midwest,71.8,,4%,0.50%,<0.1%,<0.1%,<0.1%,<0.1%
Hartford 16,South,70.9,,2%,0.10%,<0.1%,<0.1%,<0.1%,<0.1%
App. St. 16,West,70.3,59%,0.70%,0.10%,<0.1%,<0.1%,<0.1%,<0.1%
Mt. St. Mary's 16,East,68.9,51%,2%,0.20%,<0.1%,<0.1%,<0.1%,<0.1%
TXSO 16,East,68.8,49%,2%,0.20%,<0.1%,<0.1%,<0.1%,<0.1%
Norfolk St. 16,West,68.3,41%,0.40%,<0.1%,<0.1%,<0.1%,<0.1%,<0.1%
