TEAM,REGION,RANK,PLACE,TEAM_ESPN
Gonzaga,West,1,1,Gonzaga
App. St.,West,16,2,Norfolk St
Oklahoma,West,8,3,Oklahoma
Missouri,West,9,4,Missouri
Creighton,West,5,5,Creighton
UCSB,West,12,6,UCSB
Virginia,West,4,7,Virginia
Ohio,West,13,8,Ohio
USC,West,6,9,USC
Wichita St.,West,11,10,Drake
Kansas,West,3,11,Kansas
E. Wash.,West,14,12,E Washington
Oregon,West,7,13,Oregon
VCU,West,10,14,VCU
Iowa,West,2,15,Iowa
Gr. Canyon,West,15,16,Grand Canyon
Michigan,East,1,1,Michigan
Mt. St. Mary's,East,16,2,Texas Southern
LSU,East,8,3,LSU
St. Bon.,East,9,4,St. Bonaventure
Colorado,East,5,5,Colorado
Georgetown,East,12,6,Georgetown
Florida State,East,4,7,Florida State
UNC-Greens.,East,13,8,UNC Greensboro
BYU,East,6,9,BYU
Michigan St.,East,11,10,UCLA
Texas,East,3,11,Texas
Abilene Chr.,East,14,12,Abil Christian
Uconn,East,7,13,UConn
Maryland,East,10,14,Maryland
Alabama,East,2,15,Alabama
Iona,East,15,16,Iona
Baylor,South,1,1,Baylor
Hartford,South,16,2,Hartford
UNC,South,8,3,North Carolina
Wisconsin,South,9,4,Wisconsin
Villanova,South,5,5,Villanova
Winthrop,South,12,6,Winthrop
Purdue,South,4,7,Purdue
North Texas,South,13,8,North Texas
Texas Tech,South,6,9,Texas Tech
Utah State,South,11,10,Utah State
Arkansas,South,3,11,Arkansas
Colgate,South,14,12,Colgate
Florida,South,7,13,Florida
Virginia Tech,South,10,14,Virginia Tech
Ohio State,South,2,15,Ohio State
Oral Roberts,South,15,16,Oral Roberts
Illinois,Midwest,1,1,Illinois
Drexel,Midwest,16,2,Drexel
Loyola (IL),Midwest,8,3,Loyola Chicago
Georgia Tech,Midwest,9,4,Georgia Tech
Tennessee,Midwest,5,5,Tennessee
Oregon St.,Midwest,12,6,Oregon State
Okla. State,Midwest,4,7,Oklahoma State
Liberty,Midwest,13,8,Liberty
SDSU,Midwest,6,9,San Diego State
Syracuse,Midwest,11,10,Syracuse
W. Virginia,Midwest,3,11,West Virginia
Morehead St.,Midwest,14,12,Morehead State
Clemson,Midwest,7,13,Clemson
Rutgers,Midwest,10,14,Rutgers
Houston,Midwest,2,15,Houston
Cleveland St.,Midwest,15,16,Cleveland State
